city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Jakarta,Jakarta,-6.2146,106.8451,Indonesia,ID,IDN,Jakarta,primary,35362000,1360771077
Manila,Manila,14.6,120.9833,Philippines,PH,PHL,Manila,primary,23971000,1608618140
Bangkok,Bangkok,13.75,100.5167,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,17573000,1764068610
Ho Chi Minh City,Ho Chi Minh City,10.8167,106.6333,Vietnam,VN,VNM,H? Ch° Minh,admin,13954000,1704774326
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia,MY,MYS,Kuala Lumpur,primary,8639000,1458988644
Hanoi,Hanoi,21.0245,105.8412,Vietnam,VN,VNM,HÖ N?i,primary,8246600,1704413791
Rangoon,Rangoon,16.795,96.16,Myanmar,MM,MMR,Yangon,primary,5430000,1104616656
Singapore,Singapore,1.3,103.8,Singapore,SG,SGP,Central Singapore,primary,5271000,1702341327
Quezon City,Quezon City,14.6333,121.0333,Philippines,PH,PHL,Quezon,admin,2960048,1608974097
Surabaya,Surabaya,-7.2458,112.7378,Indonesia,ID,IDN,Jawa Timur,admin,2885555,1360484663
Bandung,Bandung,-6.95,107.5667,Indonesia,ID,IDN,Jawa Barat,admin,2875673,1360313023
Bekasi,Bekasi,-6.2333,107,Indonesia,ID,IDN,Jawa Barat,,2381053,1360006015
Depok,Depok,-6.394,106.8225,Indonesia,ID,IDN,Jawa Barat,,2330333,1360962899
Tangerang,Tangerang,-6.1783,106.6319,Indonesia,ID,IDN,Jawa Barat,,2237006,1360002844
Phnom Penh,Phnom Penh,11.5696,104.921,Cambodia,KH,KHM,Phnom Penh,primary,2129371,1116260534
Medan,Medan,3.6667,98.6667,Indonesia,ID,IDN,Sumatera Utara,admin,2109330,1360543171
Haiphong,Haiphong,20.8,106.6667,Vietnam,VN,VNM,H?i Phïng,admin,2103500,1704000623
Davao,Davao,7.0667,125.6,Philippines,PH,PHL,Davao,admin,1776949,1608906877
Caloocan City,Caloocan City,14.65,120.9667,Philippines,PH,PHL,Caloocan,admin,1661584,1608897690
Semarang,Semarang,-6.9667,110.4167,Indonesia,ID,IDN,Jawa Tengah,admin,1621384,1360745537
Palembang,Palembang,-2.9833,104.7644,Indonesia,ID,IDN,Sumatera Selatan,admin,1535952,1360902897
Makassar,Makassar,-5.1331,119.4136,Indonesia,ID,IDN,Sulawesi Selatan,admin,1338663,1360051337
C?n Th?,Can Tho,10.0333,105.7833,Vietnam,VN,VNM,C?n Th?,admin,1237300,1704783472
Mandalay,Mandalay,21.9831,96.0844,Myanmar,MM,MMR,Mandalay,admin,1225546,1104468217
Cilacap,Cilacap,-7.7167,109.017,Indonesia,ID,IDN,Jawa Tengah,minor,1174964,1360503809
Bandar Lampung,Bandar Lampung,-5.4294,105.2625,Indonesia,ID,IDN,Lampung,admin,1166761,1360243491
Nay Pyi Taw,Nay Pyi Taw,19.7475,96.115,Myanmar,MM,MMR,Nay Pyi Taw,primary,1160242,1104838105
Biàn Hïa,Bien Hoa,10.9508,106.8221,Vietnam,VN,VNM,??ng Nai,admin,1104000,1704863046
Bogor,Bogor,-6.5917,106.8,Indonesia,ID,IDN,Jawa Barat,,1030720,1360771925
Batam,Batam,1.0678,104.0167,Indonesia,ID,IDN,Kepulauan Riau,,1029808,1360405604
Th? ??c,Thu Duc,10.7924,106.7518,Vietnam,VN,VNM,H? Ch° Minh,minor,1013795,1704361621
Qu?ng HÖ,Quang Ha,16.06,108.25,Vietnam,VN,VNM,Qu?ng Nam,,1000000,1704966442
Pekanbaru,Pekanbaru,0.5333,101.45,Indonesia,ID,IDN,Riau,admin,983356,1360422679
Zamboanga City,Zamboanga City,6.9167,122.0833,Philippines,PH,PHL,Zamboanga,admin,977234,1608189351
Cebu City,Cebu City,10.293,123.902,Philippines,PH,PHL,Cebu,admin,964169,1608136151
Vientiane,Vientiane,17.9667,102.6,Laos,LA,LAO,Viangchan,primary,948487,1418732714
Padang,Padang,-0.9556,100.3606,Indonesia,ID,IDN,Sumatera Barat,admin,914970,1360900986
Antipolo,Antipolo,14.5842,121.1763,Philippines,PH,PHL,Rizal,admin,887399,1608824345
Taguig City,Taguig City,14.5167,121.05,Philippines,PH,PHL,Taguig,admin,886722,1608766695
Klang,Klang,3.0333,101.45,Malaysia,MY,MYS,Selangor,,878000,1458509635
Ipoh,Ipoh,4.6,101.07,Malaysia,MY,MYS,Perak,admin,866772,1458423505
Malang,Malang,-7.98,112.62,Indonesia,ID,IDN,Jawa Timur,,866118,1360141408
Denpasar,Denpasar,-8.6667,115.2167,Indonesia,ID,IDN,Bali,admin,834881,1360848527
Butterworth,Butterworth,5.3992,100.3639,Malaysia,MY,MYS,Pulau Pinang,,821652,1458469233
Pasig City,Pasig City,14.575,121.0833,Philippines,PH,PHL,Pasig,admin,803159,1608278212
Samarinda,Samarinda,-0.5022,117.1536,Indonesia,ID,IDN,Kalimantan Timur,admin,753370,1360684979
Cagayan de Oro,Cagayan de Oro,8.4833,124.65,Philippines,PH,PHL,Cagayan de Oro,admin,728402,1608831546
Valenzuela,Valenzuela,14.7,120.9833,Philippines,PH,PHL,Valenzuela,admin,714978,1608492120
George Town,George Town,5.4145,100.3292,Malaysia,MY,MYS,Pulau Pinang,admin,708127,1458236750
Dasmari§as,Dasmarinas,14.3294,120.9367,Philippines,PH,PHL,Cavite,,703141,1608418544
General Santos,General Santos,6.1167,125.1667,Philippines,PH,PHL,General Santos,admin,697315,1608171585
Banjarmasin,Banjarmasin,-3.319,114.5921,Indonesia,ID,IDN,Kalimantan Selatan,admin,692793,1360685223
City of Para§aque,City of Paranaque,14.4667,121.0167,Philippines,PH,PHL,Para§aque,admin,689992,1608379532
Tasikmalaya,Tasikmalaya,-7.3333,108.2,Indonesia,ID,IDN,Jawa Barat,,678027,1360027771
Bacoor,Bacoor,14.4624,120.9645,Philippines,PH,PHL,Cavite,,664625,1608869358
Hu?,Hue,16.4637,107.5908,Vietnam,VN,VNM,Th?a Thiàn-Hu?,admin,652572,1704016023
San Jose del Monte,San Jose del Monte,14.8139,121.0453,Philippines,PH,PHL,Bulacan,,651813,1608850554
Petaling Jaya,Petaling Jaya,3.1073,101.6067,Malaysia,MY,MYS,Selangor,,638516,1458989343
Makati City,Makati City,14.55,121.0333,Philippines,PH,PHL,Makati,admin,629616,1608725647
Pontianak,Pontianak,-0.0206,109.3414,Indonesia,ID,IDN,Kalimantan Barat,admin,618388,1360992394
Serang,Serang,-6.12,106.1503,Indonesia,ID,IDN,Banten,admin,613356,1360329102
Kuantan,Kuantan,3.8167,103.3333,Malaysia,MY,MYS,Pahang,admin,607778,1458763489
Las Pi§as City,Las Pinas City,14.45,120.9833,Philippines,PH,PHL,Las Pi§as,,606293,1608544537
Jambi,Jambi,-1.59,103.61,Indonesia,ID,IDN,Jambi,admin,602187,1360645580
Bacolod,Bacolod,10.6765,122.9509,Philippines,PH,PHL,Bacolod,admin,600783,1608244137
Balikpapan,Balikpapan,-1.1489,116.9031,Indonesia,ID,IDN,Kalimantan Timur,,598043,1360500922
Cimahi,Cimahi,-6.8833,107.5333,Indonesia,ID,IDN,Jawa Barat,,586580,1360181436
Shah Alam,Shah Alam,3.0833,101.5333,Malaysia,MY,MYS,Selangor,admin,584340,1458194263
Surakarta,Surakarta,-7.5667,110.8167,Indonesia,ID,IDN,Jawa Tengah,,552118,1360853933
Muntinlupa City,Muntinlupa City,14.3833,121.05,Philippines,PH,PHL,Muntinlupa,admin,543445,1608473406
City of Calamba,City of Calamba,14.2167,121.1667,Philippines,PH,PHL,Laguna,,539671,1608985581
B?c Ninh,Bac Ninh,21.1861,106.0763,Vietnam,VN,VNM,B?c Ninh,admin,520000,1704025181
H?i D??ng,Hai Duong,20.9399,106.3309,Vietnam,VN,VNM,H?i D??ng,admin,507469,1704909566
Lapu-Lapu City,Lapu-Lapu City,10.3127,123.9488,Philippines,PH,PHL,Lapu-Lapu,admin,497604,1608430676
Johor Bahru,Johor Bahru,1.4556,103.7611,Malaysia,MY,MYS,Johor,admin,497097,1458747615
Imus,Imus,14.4297,120.9367,Philippines,PH,PHL,Cavite,,496794,1608802508
Kota Bharu,Kota Bharu,6.1333,102.25,Malaysia,MY,MYS,Kelantan,admin,491237,1458150101
Vinh,Vinh,18.6733,105.6922,Vietnam,VN,VNM,Ngh? An,admin,490000,1704960059
Angeles City,Angeles City,15.1472,120.5847,Philippines,PH,PHL,Angeles,admin,462928,1608036027
Manado,Manado,1.4931,124.8413,Indonesia,ID,IDN,Sulawesi Utara,admin,461636,1360771278
Iloilo,Iloilo,10.7167,122.5667,Philippines,PH,PHL,Iloilo,admin,457626,1608875987
Marikina City,Marikina City,14.65,121.1,Philippines,PH,PHL,Marikina,admin,456059,1608000077
Melaka,Melaka,2.1889,102.2511,Malaysia,MY,MYS,Melaka,admin,455300,1458467506
Kota Kinabalu,Kota Kinabalu,5.975,116.0725,Malaysia,MY,MYS,Sabah,admin,452058,1458441859
General Trias,General Trias,14.3833,120.8833,Philippines,PH,PHL,Cavite,,450583,1608826995
Rodriguez,Rodriguez,14.7167,121.1167,Philippines,PH,PHL,Rizal,,443954,1608543530
Pasay City,Pasay City,14.55,121,Philippines,PH,PHL,Pasay,admin,440656,1608448280
Kupang,Kupang,-10.1633,123.5778,Indonesia,ID,IDN,Nusa Tenggara Timur,admin,433970,1360696757
Mandaluyong City,Mandaluyong City,14.5833,121.0333,Philippines,PH,PHL,Mandaluyong,admin,425758,1608166320
Yogyakarta,Yogyakarta,-7.8014,110.3644,Indonesia,ID,IDN,Yogyakarta,admin,422732,1360384833
Hpa-An,Hpa-An,16.8906,97.6333,Myanmar,MM,MMR,Kayin State,admin,421525,1104494124
Seremban,Seremban,2.7297,101.9381,Malaysia,MY,MYS,Negeri Sembilan,admin,419536,1458051507
Santa Rosa,Santa Rosa,14.3167,121.1167,Philippines,PH,PHL,Laguna,,414812,1608571683
Jayapura,Jayapura,-2.5333,140.7167,Indonesia,ID,IDN,Papua,admin,413283,1360517692
Mataram,Mataram,-8.5833,116.1167,Indonesia,ID,IDN,Nusa Tenggara Barat,admin,408900,1360021952
Bi§an,Binan,14.3333,121.0833,Philippines,PH,PHL,Laguna,,407437,1608039268
Sandakan,Sandakan,5.8388,118.1173,Malaysia,MY,MYS,Sabah,,396290,1458405180
Thanh H¢a,Thanh Hoa,19.8075,105.7764,Vietnam,VN,VNM,Thanh H¢a,admin,393294,1704016079
Nha Trang,Nha Trang,12.2495,109.1908,Vietnam,VN,VNM,Kh†nh Hïa,admin,392279,1704497901
Cilegon,Cilegon,-6.0167,106.0167,Indonesia,ID,IDN,Banten,,387543,1360643410
Taytay,Taytay,14.5692,121.1325,Philippines,PH,PHL,Rizal,,386451,1608530771
Tarlac City,Tarlac City,15.4802,120.5979,Philippines,PH,PHL,Tarlac,admin,385398,1608237027
Malabon,Malabon,14.6625,120.9567,Philippines,PH,PHL,Malabon,admin,380522,1608045841
Cainta,Cainta,14.5667,121.1167,Philippines,PH,PHL,Rizal,,376933,1608314665
Lipa City,Lipa City,13.9411,121.1622,Philippines,PH,PHL,Batangas,,372931,1608615113
Butuan,Butuan,8.9534,125.5288,Philippines,PH,PHL,Butuan,admin,372910,1608000722
Ambon,Ambon,-3.705,128.17,Indonesia,ID,IDN,Maluku,admin,372249,1360756802
Baguio City,Baguio City,16.4152,120.5956,Philippines,PH,PHL,Baguio,admin,366358,1608164766
Mandaue City,Mandaue City,10.3333,123.9333,Philippines,PH,PHL,Mandaue,admin,364116,1608794590
Iligan,Iligan,8.2333,124.25,Philippines,PH,PHL,Iligan,admin,363115,1608000268
Bengkulu,Bengkulu,-3.7956,102.2592,Indonesia,ID,IDN,Bengkulu,admin,360495,1360191448
Palu,Palu,-0.895,119.8594,Indonesia,ID,IDN,Sulawesi Tengah,admin,359350,1360518272
Sungai Petani,Sungai Petani,5.65,100.48,Malaysia,MY,MYS,Kedah,,358499,1458639918
Cabuyao,Cabuyao,14.275,121.125,Philippines,PH,PHL,Laguna,,355330,1608604441
San Fernando,San Fernando,15.0333,120.6833,Philippines,PH,PHL,Pampanga,admin,354666,1608862124
Nam ??nh,Nam Dinh,20.42,106.1683,Vietnam,VN,VNM,Nam ??nh,admin,352108,1704906277
Batangas,Batangas,13.75,121.05,Philippines,PH,PHL,Batangas,admin,351437,1608417616
Buìn Ma Thu?t,Buon Ma Thuot,12.6667,108.05,Vietnam,VN,VNM,??k L?k,admin,340000,1704542086
Kendari,Kendari,-3.9675,122.5947,Indonesia,ID,IDN,Sulawesi Tenggara,admin,331013,1360992102
Th†i Nguyàn,Thai Nguyen,21.6,105.85,Vietnam,VN,VNM,Th†i Nguyàn,admin,330000,1704613715
Cabanatuan City,Cabanatuan City,15.4833,120.9667,Philippines,PH,PHL,Nueva Ecija,,327325,1608247694
V?ng TÖu,Vung Tau,10.4042,107.1417,Vietnam,VN,VNM,BÖ R?a-V?ng TÖu,admin,327000,1704581438
San Pedro,San Pedro,14.3583,121.0583,Philippines,PH,PHL,Laguna,,326001,1608848483
Kuching,Kuching,1.5397,110.3542,Malaysia,MY,MYS,Sarawak,admin,325132,1458462262
Cotabato,Cotabato,7.2167,124.25,Philippines,PH,PHL,Cotabato,admin,325079,1608753128
Sukabumi,Sukabumi,-6.9197,106.9272,Indonesia,ID,IDN,Jawa Barat,,320970,1360447543
Cirebon,Cirebon,-6.7167,108.5667,Indonesia,ID,IDN,Jawa Barat,,316126,1360011375
CÖ Mau,Ca Mau,9.1833,105.15,Vietnam,VN,VNM,CÖ Mau,admin,315270,1704320474
Binangonan,Binangonan,14.4514,121.1919,Philippines,PH,PHL,Rizal,,313631,1608102511
Tanza,Tanza,14.3944,120.8531,Philippines,PH,PHL,Cavite,,312116,1608010777
Quy Nh?n,Quy Nhon,13.7696,109.2314,Vietnam,VN,VNM,Bçnh ??nh,admin,311000,1704056461
Puerto Princesa,Puerto Princesa,9.75,118.75,Philippines,PH,PHL,Puerto Princesa,admin,307079,1608455700
S¢c Tr?ng,Soc Trang,9.6,105.9719,Vietnam,VN,VNM,S¢c Tr?ng,admin,300000,1704758756
Jember,Jember,-8.1727,113.6873,Indonesia,ID,IDN,Jawa Timur,minor,298585,1360316553
Pekalongan,Pekalongan,-6.8883,109.6753,Indonesia,ID,IDN,Jawa Tengah,,298386,1360039434
Tagum,Tagum,7.4478,125.8078,Philippines,PH,PHL,Davao del Norte,admin,296202,1608755366
Silang,Silang,14.2306,120.975,Philippines,PH,PHL,Cavite,,295644,1608301996
Mabalacat,Mabalacat,15.2167,120.5833,Philippines,PH,PHL,Pampanga,,293244,1608402560
Santa Maria,Santa Maria,14.8183,120.9563,Philippines,PH,PHL,Bulacan,,289820,1608186208
San Pablo,San Pablo,14.07,121.325,Philippines,PH,PHL,Laguna,,285348,1608801564
Bago,Bago,17.3433,96.4981,Myanmar,MM,MMR,Bago,admin,284179,1104027443
Lucena,Lucena,13.9333,121.6167,Philippines,PH,PHL,Lucena,admin,278924,1608000461
Long Xuyàn,Long Xuyen,10.3686,105.4234,Vietnam,VN,VNM,An Giang,admin,278658,1704453892
Pematangsiantar,Pematangsiantar,2.96,99.06,Indonesia,ID,IDN,Sumatera Utara,,278055,1360769496
Vi?t Trç,Viet Tri,21.3136,105.3947,Vietnam,VN,VNM,Ph£ Th?,admin,277539,1704332956
Tegal,Tegal,-6.8667,109.1333,Indonesia,ID,IDN,Jawa Tengah,,275789,1360035814
San Mateo,San Mateo,14.6969,121.1219,Philippines,PH,PHL,Rizal,,273306,1608557779
Majene,Majene,-3.5336,118.966,Indonesia,ID,IDN,Sulawesi Barat,minor,272377,1360498576
Sorong,Sorong,-0.8667,131.25,Indonesia,ID,IDN,Papua Barat,,272349,1360018780
Binjai,Binjai,3.6,98.4853,Indonesia,ID,IDN,Sumatera Utara,,269053,1360884608
Th†i Bçnh,Thai Binh,20.4461,106.3422,Vietnam,VN,VNM,Th†i Bçnh,admin,268167,1704716027
Myeik,Myeik,12.4394,98.6003,Myanmar,MM,MMR,Taninthayi,,266720,1104715655
Dumai,Dumai,1.6667,101.45,Indonesia,ID,IDN,Riau,,264084,1360153292
Talisay,Talisay,10.25,123.8333,Philippines,PH,PHL,Cebu,,263048,1608040297
Malolos,Malolos,14.8433,120.8114,Philippines,PH,PHL,Bulacan,admin,261189,1608358783
Olongapo,Olongapo,14.8333,120.2833,Philippines,PH,PHL,Olongapo,admin,260317,1608001640
Qu?ng Ng∆i,Quang Ngai,15.1206,108.7922,Vietnam,VN,VNM,Qu?ng Ng∆i,admin,260252,1704029499
?p ?a L?i,Ap Da Loi,11.9304,108.42,Vietnam,VN,VNM,LÉm ??ng,,256019,1704613422
Nonthaburi,Nonthaburi,13.8667,100.5167,Thailand,TH,THA,Nonthaburi,admin,255671,1764667935
Kuala Terengganu,Kuala Terengganu,5.3303,103.1408,Malaysia,MY,MYS,Terengganu,admin,255109,1458475563
Marilao,Marilao,14.7581,120.9481,Philippines,PH,PHL,Bulacan,,254453,1608371779
Kediri,Kediri,-7.8111,112.0047,Indonesia,ID,IDN,Jawa Timur,,252000,1360498846
Tacloban,Tacloban,11.2444,125.0039,Philippines,PH,PHL,Tacloban,admin,251881,1608710592
R?ch Gi†,Rach Gia,10.0125,105.0808,Vietnam,VN,VNM,Ki?n Giang,admin,250660,1704872008
Palangkaraya,Palangkaraya,-2.21,113.92,Indonesia,ID,IDN,Kalimantan Tengah,admin,249434,1360268553
Sibu,Sibu,2.3,111.8167,Malaysia,MY,MYS,Sarawak,,247995,1458970454
Navotas,Navotas,14.6667,120.9417,Philippines,PH,PHL,Navotas,admin,247543,1608538447
Th? D?u M?t,Thu Dau Mot,11.0042,106.6583,Vietnam,VN,VNM,Bçnh D??ng,admin,244277,1704890399
Myitkyina,Myitkyina,25.3867,97.3936,Myanmar,MM,MMR,Kachin State,admin,243031,1104327329
Tuy Hïa,Tuy Hoa,13.0869,109.3086,Vietnam,VN,VNM,Ph£ Yàn,admin,242840,1704697424
Taiping,Taiping,4.85,100.7333,Malaysia,MY,MYS,Perak,,237095,1458446120
Pathein,Pathein,16.7667,94.7333,Myanmar,MM,MMR,Ayeyawady,admin,237089,1104832430
Banda Aceh,Banda Aceh,5.55,95.3175,Indonesia,ID,IDN,Aceh,admin,235305,1360353144
Miri,Miri,4.4028,113.9933,Malaysia,MY,MYS,Sarawak,,234541,1458079883
Singaraja,Singaraja,-8.1167,115.0833,Indonesia,ID,IDN,Bali,minor,234468,1360426282
Ormoc,Ormoc,11.0167,124.6167,Philippines,PH,PHL,Ormoc,admin,230998,1608269612
Singkawang,Singkawang,0.9,108.9833,Indonesia,ID,IDN,Kalimantan Barat,,230376,1360906363
Meycauayan,Meycauayan,14.7333,120.95,Philippines,PH,PHL,Bulacan,,225673,1608553352
Padangsidempuan,Padangsidempuan,1.3667,99.2667,Indonesia,ID,IDN,Sumatera Utara,,225544,1360506609
B?c Liàu,Bac Lieu,9.2833,105.7167,Vietnam,VN,VNM,B?c Liàu,admin,225000,1704298745
Probolinggo,Probolinggo,-7.75,113.2167,Indonesia,ID,IDN,Jawa Timur,,223159,1360138476
Dili,Dili,-8.5536,125.5783,Timor-Leste,TL,TLS,D°li,primary,222323,1626308942
Bitung,Bitung,1.4472,125.1978,Indonesia,ID,IDN,Sulawesi Utara,,218520,1360695939
Santo Tomas,Santo Tomas,14.0833,121.1833,Philippines,PH,PHL,Batangas,,218500,1608845898
Alor Setar,Alor Setar,6.1167,100.3667,Malaysia,MY,MYS,Kedah,admin,217000,1458273978
Banjarbaru,Banjarbaru,-3.4425,114.8325,Indonesia,ID,IDN,Kalimantan Selatan,,216600,1360085654
Valencia,Valencia,7.9,125.0833,Philippines,PH,PHL,Bukidnon,,216546,1608418474
Sa ?Çc,Sa Dec,10.3105,105.7397,Vietnam,VN,VNM,??ng Th†p,minor,213610,1704983576
Trece Martires City,Trece Martires City,14.2833,120.8667,Philippines,PH,PHL,Cavite,admin,210503,1608990723
Pagadian,Pagadian,7.8333,123.4333,Philippines,PH,PHL,Zamboanga del Sur,admin,210452,1608329397
Bukit Mertajam,Bukit Mertajam,5.3631,100.4667,Malaysia,MY,MYS,Pulau Pinang,,210000,1458619046
Legazpi City,Legazpi City,13.1333,123.7333,Philippines,PH,PHL,Albay,admin,209533,1608693683
Panabo,Panabo,7.3,125.6833,Philippines,PH,PHL,Davao del Norte,,209230,1608577408
Naga City,Naga City,13.6167,123.1667,Philippines,PH,PHL,Naga,admin,209170,1608775993
Lubuklinggau,Lubuklinggau,-3.2967,102.8617,Indonesia,ID,IDN,Sumatera Selatan,,208225,1360359449
Monywa,Monywa,22.1086,95.1358,Myanmar,MM,MMR,Sagaing,,207489,1104777345
Toledo,Toledo,10.3833,123.65,Philippines,PH,PHL,Cebu,,207314,1608665464
Marawi City,Marawi City,8,124.3,Philippines,PH,PHL,Lanao del Sur,admin,207010,1608812117
San Carlos City,San Carlos City,15.9281,120.3489,Philippines,PH,PHL,Pangasinan,,205424,1608542323
Phan Thi?t,Phan Thiet,10.9375,108.1583,Vietnam,VN,VNM,Bçnh Thu?n,admin,205333,1704221456
Ternate,Ternate,0.7833,127.3667,Indonesia,ID,IDN,Maluku Utara,,204215,1360041663
Tanjungpinang,Tanjungpinang,0.9188,104.4554,Indonesia,ID,IDN,Kepulauan Riau,admin,203008,1360990589
Tarakan,Tarakan,3.3,117.6333,Indonesia,ID,IDN,Kalimantan Utara,,201635,1360080072
Kabankalan,Kabankalan,9.9833,122.8167,Philippines,PH,PHL,Negros Occidental,,200198,1608697923
Lahad Datu,Lahad Datu,5.03,118.34,Malaysia,MY,MYS,Sabah,,199830,1458472057
Martapura,Martapura,-3.4135,114.8365,Indonesia,ID,IDN,Kalimantan Selatan,minor,198239,1360139854
Koronadal,Koronadal,6.5,124.85,Philippines,PH,PHL,South Cotabato,,195398,1608000651
Tanauan,Tanauan,14.0833,121.15,Philippines,PH,PHL,Batangas,,193936,1608053818
Gorontalo,Gorontalo,0.5411,123.0594,Indonesia,ID,IDN,Gorontalo,admin,191897,1360408580
Muar,Muar,2.05,102.56,Malaysia,MY,MYS,Johor,,191346,1458170112
Bago,Bago,10.5388,122.8384,Philippines,PH,PHL,Negros Occidental,,191210,1608943172
